#,Key,Name,Category,Institution Type,Parent Ministry,Location
207,KMTC - TAVETA,KENYA MEDICAL TRAINING COLLEGE - TAVETA CAMPUS,College,Public,Ministry of Health,TAITA TAVETA COUNTY
208,KMTC - TESO,KENYA MEDICAL TRAINING COLLEGE - TESO CAMPUS,College,Public,Ministry of Health,BUSIA COUNTY
209,KMTC - THIKA,KENYA MEDICAL TRAINING COLLEGE - THIKA CAMPUS,College,Public,Ministry of Health,KIAMBU COUNTY
210,KMTC - TRANS-MARA,KENYA MEDICAL TRAINING COLLEGE - TRANS MARA CAMPUS,College,Public,Ministry of Health,NAROK COUNTY
211,KMTC - UGENYA,KENYA MEDICAL TRAINING COLLEGE - UGENYA CAMPUS,College,Public,Ministry of Health,SIAYA COUNTY
212,KMTC - UGUNJA,KENYA MEDICAL TRAINING COLLEGE - UGUNJA CAMPUS,College,Public,Ministry of Health,SIAYA COUNTY
213,KMTC - VIHIGA,KENYA MEDICAL TRAINING COLLEGE - VIHIGA CAMPUS,College,Public,Ministry of Health,VIHIGA COUNTY
214,KMTC - VOI,KENYA MEDICAL TRAINING COLLEGE - VOI CAMPUS,College,Public,Ministry of Health,TAITA TAVETA COUNTY
215,KMTC - WAJIR,KENYA MEDICAL TRAINING COLLEGE - WAJIR CAMPUS,College,Public,Ministry of Health,WAJIR COUNTY
216,KMTC - WEBUYE,KENYA MEDICAL TRAINING COLLEGE - WEBUYE CAMPUS,College,Public,Ministry of Health,BUNGOMA COUNTY
217,KMTC - YATTA,KENYA MEDICAL TRAINING COLLEGE - YATTA CAMPUS,College,Public,Ministry of Health,MACHAKOS COUNTY
218,KEMU,KENYA METHODIST UNIVERSITY,University,Private,Private Institution,MERU COUNTY
219,KSA,KENYA SCHOOL OF AGRICULTURE,College,Public,In Other Ministries,NYERI COUNTY
220,KSA SONGA MBELE CAMPUS,KENYA SCHOOL OF AGRICULTURE SONGA MBELE CAMPUS,College,Public,Ministry of Education,MURANG'A COUNTY
221,KSL,KENYA SCHOOL OF LAW,College,Public,In Other Ministries,NAIROBI COUNTY
222,KESRA,KENYA SCHOOL OF REVENUE ADMINISTRATION,College,Public,In Other Ministries,TANA RIVER COUNTY
223,KTTC,KENYA TECHNICAL TRAINERS COLLEGE,College,Public,,NAIROBI COUNTY
224,KEWI,KENYA WATER INSTITUTE,College,Public,In Other Ministries,NAIROBI COUNTY
225,KWSTI,KENYA WILDLIFE SERVICE TRAINING INSTITUTE,College,Public,In Other Ministries,NAKURU COUNTY
226,KU,KENYATTA UNIVERSITY,University,Public,Ministry of Education,NAIROBI COUNTY
227,MNUC,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,University,Public,Ministry of Education,KIAMBU COUNTY
228,KU TVET - KITUI,KENYATTA UNIVERSITY TVET - KITUI,College,Public,University TVET,KITUI COUNTY
229,KU TVET - MAIN CAMPUS,KENYATTA UNIVERSITY TVET - MAIN CAMPUS,College,Public,University TVET,NAIROBI COUNTY
230,KU TVET - MOMBASA,KENYATTA UNIVERSITY TVET - MOMBASA,College,Public,University TVET,MOMBASA COUNTY
231,KU TVET - NAKURU,KENYATTA UNIVERSITY TVET - NAKURU,College,Public,University TVET,NAKURU COUNTY
232,KENYENYA TTC,KENYENYA TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,KISII COUNTY
233,KERICHO TTC,KERICHO TEACHERS' COLLEGE,College,Public,Ministry of Education,KERICHO COUNTY
234,KERICHO TOWNSHIP TVC,KERICHO TOWNSHIP TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,KERICHO COUNTY
235,KERIO VALLEY TVC,KERIO VALLEY TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,ELGEYO MARAKWET COUNTY
236,KEROKA TTI,KEROKA TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,KISII COUNTY
237,KHWISERO TVC,KHWISERO TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,KAKAMEGA COUNTY
238,KIST,KIAMBU INSTITUTE OF SCIENCE AND TECHNOLOGY,College,Public,Ministry of Education,KIAMBU COUNTY
239,KIBABII TTC,KIBABII DIPLOMA TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,BUNGOMA COUNTY
240,KBBU,KIBABII UNIVERSITY,University,Public,Ministry of Education,BUNGOMA COUNTY
241,KIBABII UNIVERSITY TVET COLLEGE,KIBABII UNIVERSITY DIRECTORATE OF TVET COLLEGE,College,Public,University TVET,BUNGOMA COUNTY
242,KIBRA TVC,KIBRA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAIROBI COUNTY
243,KIBWEZI TVC,KIBWEZI TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,MAKUENI COUNTY
244,KIENI TVC,KIENI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NYERI COUNTY
245,KIGUMO TTI,KIGUMO TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MURANG'A COUNTY
246,KIHARU TVC,KIHARU TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MURANG'A COUNTY
247,KIIRUA TTI,KIIRUA TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MERU COUNTY
248,KILGORIS TVC,KILGORIS TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAROK COUNTY
249,KIMASIAN TVC,KIMASIAN TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KERICHO COUNTY
250,KIMININI TVC,KIMININI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,TRANSNZOIA COUNTY
251,KINANGO TVC,KINANGO TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KWALE COUNTY
252,KINANGOP TVC,KINANGOP TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NYANDARUA COUNTY
253,KIPIPIRI TVC,KIPIPIRI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NYANDARUA COUNTY
254,KIPKABUS TVC,KIPKABUS TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NANDI COUNTY
255,KIPSINENDE  TVC,KIPSINENDE TECHNICAL VOCATIONAL COLLEGE,College,Public,Ministry of Education,KERICHO COUNTY
256,KIPSOEN TVC,KIPSOEN TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,ELGEYO MARAKWET COUNTY
257,KIPTARAGON TVC,KIPTARAGON TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAKURU COUNTY
258,KIRINYAGA CENTRAL TVC,KIRINYAGA CENTRAL TECHNICAL& VOCATIONAL COLLEGE,College,Public,Ministry of Education,KIRINYAGA COUNTY
259,KYU,KIRINYAGA UNIVERSITY,University,Public,Ministry of Education,KIRINYAGA COUNTY
260,KWUST,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,University,Private,Private Institution,NAIROBI COUNTY
261,KSI POLY,KISII NATIONAL POLYTECHNIC,College,Public,Ministry of Education,KISII COUNTY
262,KSU,KISII UNIVERSITY,University,Public,Ministry of Education,KISII COUNTY
263,KISII UNIVERSITY TI,KISII UNIVERSITY TVET INSTITUTE,College,Public,University TVET,KISII COUNTY
264,KISTVC,KISIWA TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,BUNGOMA COUNTY
265,KICDT,KISUMU INSTITUTE OF COMMUNITY DEVELOPMENT TRAINING,College,Private,Private Institution,KISUMU COUNTY
266,KSM POLY,KISUMU POLYTECHNIC,College,Public,Ministry of Education,KISUMU COUNTY
267,KITALE NP,KITALE NATIONAL POLYTECHNIC,College,Public,Ministry of Education,TRANSNZOIA COUNTY
268,KITELAKAPEL TTI,KITELAKAPEL TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,WEST POKOT COUNTY
269,KITUI EAST TVC,KITUI EAST TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KITUI COUNTY
270,KITUI RURAL TVC,KITUI RURAL TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KITUI COUNTY
271,KITUI TC,KITUI TEACHERS TECHNICAL COLLEGE,College,Public,Ministry of Education,KITUI COUNTY
272,KITUI TTC,KITUI TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,KITUI COUNTY
273,KITUTU CHACHE  TVC,KITUTU CHACHE  TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,KISII COUNTY
274,KITUTU MASABA TVC,KITUTU MASABA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NYAMIRA COUNTY
275,KSUC,KOITALEEL SAMOEI UNIVERSITY COLLEGE,University,Public,Ministry of Education,NANDI COUNTY
276,KONGONI TVC,KONGONI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KAKAMEGA COUNTY
277,KONOIN TTI,KONOIN TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,BOMET COUNTY
278,KOSHIN TTI,KOSHIN TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,UASIN GISHU COUNTY
279,KUCCPS TVET,KUCCPS TVET,,,,COUNTY
280,KWALE TTC,KWALE TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,KWALE COUNTY
281,LAGDERA TVC,LAGDERA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,GARISSA COUNTY
282,LAIKIPIA EAST TVC,LAIKIPIA EAST TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,LAIKIPIA COUNTY
283,LAIKIPIA NORTH TVC,LAIKIPIA NORTH TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,LAIKIPIA COUNTY
284,LU,LAIKIPIA UNIVERSITY,University,Public,Ministry of Education,LAIKIPIA COUNTY
285,LAIKIPIA UNIVERSITY TI,LAIKIPIA UNIVERSITY TVET INSTITUTE,College,Public,University TVET,LAIKIPIA COUNTY
286,LAIKIPIA WEST TVC,LAIKIPIA WEST TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,LAIKIPIA COUNTY
287,LAISAMIS TVC,LAISAMIS TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MARSABIT COUNTY
288,LAMU EAST TVC,LAMU EAST TECHCHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,LAMU COUNTY
289,LANGATA TVC,LANGATA TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAIROBI COUNTY
290,LARI TVC,LARI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KIAMBU COUNTY
291,LIKONI TVC,LIKONI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MOMBASA COUNTY
292,LIMURU TVC,LIMURU  TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KIAMBU COUNTY
293,LODWAR TVC,LODWAR TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,TURKANA COUNTY
294,LOIMA TVC,LOIMA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,TURKANA COUNTY
295,LUGARI TTC,LUGARI DIPLOMA TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,BUNGOMA COUNTY
296,LUKENYA,LUKENYA UNIVERSITY,University,Private,Private Institution,MACHAKOS COUNTY
297,LUNGA LUNGA TVC,LUNGA LUNGA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KWALE COUNTY
298,MMTVC,MAASAI MARA TECHNICAL VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAROK COUNTY
299,MMARAU,MAASAI MARA UNIVERSITY,University,Public,Ministry of Education,NAROK COUNTY
300,MAASAI MARA UNIVERSITY TI,MAASAI MARA UNIVERSITY TVET INSTITUTE,College,Public,University TVET,NAROK COUNTY
301,MABERA TVC,MABERA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MIGORI COUNTY
302,MACHAKOS TTC,MACHAKOS TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,MACHAKOS COUNTY
303,MTIB,MACHAKOS TECHNICAL INSTITUTE FOR THE BLIND,College,Public,Ministry of Education,MACHAKOS COUNTY
304,MACHAKOS TOWNSHIP TVC,MACHAKOS TOWN TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,MACHAKOS COUNTY
305,MCKU,MACHAKOS UNIVERSITY,University,Public,Ministry of Education,MACHAKOS COUNTY
306,MACHAKOS UNIVERSITY  TVET INSTITUTE,MACHAKOS UNIVERSITY  TVET INSTITUTE,College,Public,University TVET,MACHAKOS COUNTY
307,MAGARINI TVC,MAGARINI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KILIFI COUNTY
308,MAMA NGINA UNIVERSITY COLLEGE,MAMA NGINA UNIVERSITY COLLEGE,College,Public,University TVET,COUNTY
309,MUA,MANAGEMENT UNIVERSITY OF AFRICA,University,Private,Private Institution,NAIROBI COUNTY
310,MANDERA TTC,MANDERA TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,MANDERA COUNTY
311,MANDERA TTI,MANDERA TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MANDERA COUNTY
312,MANYATTA TVC,MANYATTA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,EMBU COUNTY
313,MARIST,MARIST INTERNATIONAL UNIVERSITY COLLEGE,University,Private,Private Institution,NAIROBI COUNTY
314,MASAI TTI,MASAI TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,KAJIADO COUNTY
315,MSU,MASENO UNIVERSITY,University,Public,Ministry of Education,KISUMU COUNTY
316,MMUST,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,University,Public,Ministry of Education,KAKAMEGA COUNTY
317,MASINDE MULIRO UNIVERSITY TVET  INSTITUTE,MASINDE MULIRO UNIVERSITY OF SCIENCE AND TECHNOLOGY TVET INSTITUTE,College,Public,University TVET,KAKAMEGA COUNTY
318,MASINGA TVC,MASINGA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MACHAKOS COUNTY
319,MATHENGE TTI,MATHENGE TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,NYERI COUNTY
320,MATHIOYA TVC,MATHIOYA TECHNICAL VOCATIONAL COLLEGE,College,Public,Ministry of Education,MURANG'A COUNTY
321,MATHIRA TVC,MATHIRA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NYERI COUNTY
322,MATILI TTI,MATILI TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,BUNGOMA COUNTY
323,MATUGA TVC,MATUGA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KWALE COUNTY
324,MAWEGO POLY,MAWEGO NATIONAL POLYTECHNIC,College,Public,Ministry of Education,HOMA BAY COUNTY
325,MBEERE NORTH TVC,MBEERE NORTH TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,EMBU COUNTY
326,MBITA TVC,MBITA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,HOMA BAY COUNTY
327,MERTI TTI,MERTI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,ISIOLO COUNTY
328,MERU UNIVERSITY TVET,MERU  UNIVERSITY OF SCIENCE  AND TECHNOLOGY TVET DIRECTORATE,College,Public,University TVET,MERU COUNTY
329,MERU POLY,MERU NATIONAL POLYTECHNIC,College,Public,Ministry of Education,MERU COUNTY
330,MERU TTC,MERU TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,MERU COUNTY
331,MUST,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,University,Public,Ministry of Education,MERU COUNTY
332,MICHUKI POLY,MICHUKI NATIONAL POLYTECHNIC,College,Public,Ministry of Education,MURANG'A COUNTY
333,MIGORI TTC,MIGORI TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,MIGORI COUNTY
334,MITUNGUU TTI,MITUNGUU TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MERU COUNTY
335,MOCHONGOI TVC,MOCHONGOI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,TURKANA COUNTY
336,MOI TEACHERS COLLEGE - BARINGO,MOI TEACHERS COLLEGE - BARINGO,College,Public,Ministry of Education,BARINGO COUNTY
337,MU,MOI UNIVERSITY,University,Public,Ministry of Education,UASIN GISHU COUNTY
338,MU TVET INSTITUTE,MOI UNIVERSITY TVET INSTITUTE,College,Public,University TVET,UASIN GISHU COUNTY
339,MOIBEN TVC,MOIBEN TECHNICAL VOCATIONAL COLLEGE,College,Public,Ministry of Education,UASIN GISHU COUNTY
340,MOLO TVC,MOLO TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAKURU COUNTY
341,MORENDAT,MORENDAT INSTITUTE OF OIL AND GAS,College,Public,In Other Ministries,NAIROBI COUNTY
342,MOSORIOT TTC,MOSORIOT TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,NANDI COUNTY
343,MKU,MOUNT KENYA UNIVERSITY,University,Private,Private Institution,KIAMBU COUNTY
344,MSAMBWENI TVC,MSAMBWENI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KWALE COUNTY
345,MUKIRIA TTI,MUKIRIA TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MERU COUNTY
346,MUKURWEINI TTI,MUKURWEINI TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,NYERI COUNTY
347,MULANGO TVC,MULANGO TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,KITUI COUNTY
348,MMU,MULTIMEDIA UNIVERSITY OF KENYA,University,Public,Ministry of Education,NAIROBI COUNTY
349,MULTIMEDIA UNIVERSITY TVET,MULTIMEDIA UNIVERSITY OF KENYA TVET CENTRE,College,Public,University TVET,NAIROBI COUNTY
350,MUMIAS WEST TVC,MUMIAS WEST TECHNICAL VOCATIONAL COLLEGE,College,Public,Ministry of Education,KAKAMEGA COUNTY
351,MUNGATSI TVC,MUNGATSI TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,BUSIA COUNTY
352,MURAGA TVC,MURAGA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MERU COUNTY
353,MURANG'A TTC,MURANG'A TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,MURANG'A COUNTY
354,MURANG'A TTI,MURANG'A TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MURANG'A COUNTY
355,MUT,MURANG'A UNIVERSITY OF TECHNOLOGY,University,Public,Ministry of Education,MURANG'A COUNTY
356,MURANG'A UNIVERSITY TI,MURANG'A UNIVERSITY OF TECHNOLOGY TVET INSTITUTE,College,Public,University TVET,MURANG'A COUNTY
357,MUSAKASA TTI,MUSAKASA TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,BUNGOMA COUNTY
358,MWALA TVC,MWALA TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,MACHAKOS COUNTY
359,MWATATE TVC,MWATATE TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,TAITA TAVETA COUNTY
360,MWEA TVC,MWEA  TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,KIRINYAGA COUNTY
361,NACHU TVC,NACHU TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KIAMBU COUNTY
362,NAIROBI TTI,NAIROBI TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,NAIROBI COUNTY
363,NAIVASHA TVC,NAIVASHA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAKURU COUNTY
364,NAROK SOUTH TVC,NAROK SOUTH TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAROK COUNTY
365,NAROK TTC,NAROK TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,NAROK COUNTY
366,NAROK  WEST TTI,NAROK WEST TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,NAROK COUNTY
367,NAVAKHOLO TVC,NAVAKHOLO TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,KAKAMEGA COUNTY
368,NDARAGWA TVC,NDARAGWA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NYANDARUA COUNTY
369,NDIA TVC,NDIA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KIRINYAGA COUNTY
370,NGERIA TTI,NGERIA TECHNICAL TRAINING INSTITITUON,College,Public,Ministry of Education,UASIN GISHU COUNTY
371,NGONG TVC,NGONG TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KAJIADO COUNTY
372,NJORO TTI,NJORO TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,NAKURU COUNTY
373,NKABUNE TTI,NKABUNE TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MERU COUNTY
374,NEPOLY,NORTH EASTERN NATIONAL POLYTECHNIC,College,Public,Ministry of Education,GARISSA COUNTY
375,NORTH HORR TVC,NORTH HORR TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,MARSABIT COUNTY
376,NORTH RIFT TVC,NORTH RIFT TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,BARINGO COUNTY
377,NUU TVC,NUU TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KITUI COUNTY
378,NYAKACH TVC,NYAKACH TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KISUMU COUNTY
379,NYAMIRA POLY,NYAMIRA NATIONAL POLYTECHNIC,College,Public,Ministry of Education,NYAMIRA COUNTY
380,NYANDARUA POLY,NYANDARUA NATIONAL POLYTECHNIC,College,Public,Ministry of Education,NYANDARUA COUNTY
381,NUC,NYANDARUA UNIVERSITY COLLEGE,University,Public,Ministry of Education,NYANDARUA COUNTY
382,NYANDO TVC,NYANDO TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KISUMU COUNTY
383,NYERI POLY,NYERI NATIONAL POLYTECHNIC,College,Public,Ministry of Education,NYERI COUNTY
384,OKAME TVC,OKAME TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,BUSIA COUNTY
385,OL KALOU TVC,OL KALOU TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NYANDARUA COUNTY
386,OL'LESSOS POLY,OL'LESSOS NATIONAL POLYTECHNIC,College,Public,Ministry of Education,NANDI COUNTY
387,OMUGA TVC,OMUGA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,HOMA BAY COUNTY
388,OUK,OPEN UNIVERSITY OF KENYA,University,Public,Ministry of Education,MACHAKOS COUNTY
389,OROGARE TVC,OROGARE TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KISII COUNTY
390,PAC,PAN AFRICA CHRISTIAN UNIVERSITY,University,Private,Private Institution,NAIROBI COUNTY
391,PCKINYANJUI TTI,PC KINYANJUI TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,NAIROBI COUNTY
392,PUEA,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,University,Private,Private Institution,KIAMBU COUNTY
393,PU,PWANI UNIVERSITY,University,Public,Ministry of Education,KILIFI COUNTY
394,PWANI UNIVERSITY TVET,PWANI UNIVERSITY TVET COLLEGE,College,Public,University TVET,KILIFI COUNTY
395,RACHUONYO TVC,RACHUONYO TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,HOMA BAY COUNTY
396,RTI,RAILWAY TRAINING INSTITUTE,College,Public,In Other Ministries,NAIROBI COUNTY
397,RIAT,RAMOGI INSTITUTE OF ADVANCE TECHNOLOGY,College,Public,Ministry of Education,KISUMU COUNTY
398,RANGWE TVC,RANGWE TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,HOMA BAY COUNTY
399,RARIEDA TVC,RARIEDA TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,SIAYA COUNTY
400,RCMRD,REGIONAL CENTRE FOR MAPPING OF RESOURCES FOR DEVELOPMENT,College,Public,In Other Ministries,NAIROBI COUNTY
401,RIAMO TVC,RIAMO TECHNICAL VOCATIONAL COLLEGE,College,Public,Ministry of Education,KISII COUNTY
402,RU,RIARA UNIVERSITY,University,Private,Private Institution,NAIROBI COUNTY
403,RIATIRIMBA TVC,RIATIRIMBA TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,KISII COUNTY
404,RVIST,RIFT VALLEY INSTITUTE OF SCIENCE AND TECHNOLOGY,College,Public,Ministry of Education,NAKURU COUNTY
405,RIFT VALLEY TTI,RIFT VALLEY TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,UASIN GISHU COUNTY
406,RIRAGIA TTI,RIRAGIA TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,KISII COUNTY
407,RNU,RONGO UNIVERSITY,University,Public,Ministry of Education,MIGORI COUNTY
408,RONGO UNIVERSITY TI,RONGO UNIVERSITY TECHNICAL & VOCATIONAL TRAINING INSTITUTE,College,Public,University TVET,MIGORI COUNTY
409,RUIRU TVC,RUIRU TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KIAMBU COUNTY
410,RUNYENJES TVC,RUNYENJES TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,EMBU COUNTY
411,SABATIA TVC,SABATIA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,VIHIGA COUNTY
412,SAMBURU NORTH TVC,SAMBURU NORTH  TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,SAMBURU COUNTY
413,SAMBURU TVC,SAMBURU TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,SAMBURU COUNTY
414,SCU,SCOTT CHRISTIAN UNIVERSITY,University,Private,Private Institution,MACHAKOS COUNTY
415,SEKU TI,SEKU DIRECTORATE OF TVET WOTE CAMPUS,College,Public,University TVET,MAKUENI COUNTY
416,SEME TTC,SEME TEACHERS COLLEGE,College,Public,Ministry of Education,KISUMU COUNTY
417,SEME TVC,SEME TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KISUMU COUNTY
418,SHAMBERERE TTI,SHAMBERERE TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,KAKAMEGA COUNTY
419,SHANZU TTC,SHANZU TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,MOMBASA COUNTY
420,SIALA TTI,SIALA TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MIGORI COUNTY
421,SIT,SIAYA INSTITUTE OF TECHNOLOGY,College,Public,Ministry of Education,SIAYA COUNTY
422,SIGALAGALA POLY,SIGALAGALA NATIONAL POLYTECHNIC,College,Public,Ministry of Education,KAKAMEGA COUNTY
423,SIKRI TTIBD,SIKRI TECHNICAL TRAINING INSTITUTE FOR THE BLIND AND DEAF,College,Public,Ministry of Education,HOMA BAY COUNTY
424,SIRISIA TVC,SIRISIA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,BUNGOMA COUNTY
425,SIRUTI TVC,SIRUTI TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,MIGORI COUNTY
426,SOT TTI,SOT TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,BOMET COUNTY
